title,artist,peakPos,lastPos,weeks,rank,date
Looks Like Love Again,Dann Rogers,43,47,8,43,2/2/1980
Heartbreaker,Pat Benatar,44,48,7,44,2/2/1980
99,Toto,45,49,7,45,2/2/1980
I Don't Want To Talk About It,Rod Stewart,46,52,7,46,2/2/1980
Him,Rupert Holmes,47,56,3,47,2/2/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,48,53,7,48,2/2/1980
Too Hot,Kool & The Gang,49,65,3,49,2/2/1980
Refugee,Tom Petty And The Heartbreakers,50,63,2,50,2/2/1980
Another Brick In The Wall (Part II),Pink Floyd,51,64,3,51,2/2/1980
Can We Still Be Friends,Robert Palmer,52,54,7,52,2/2/1980
"Let Me Go, Love",Nicolette Larson & Michael McDonald,53,59,4,53,2/2/1980
Flirtin' With Disaster,Molly Hatchet,54,61,5,54,2/2/1980
Glide,Pleasure,55,55,9,55,2/2/1980
Please Don't Go,KC And The Sunshine Band,1,20,24,56,2/2/1980
Give It All You Got,Chuck Mangione,57,79,3,57,2/2/1980
Kiss Me In The Rain,Barbra Streisand,58,69,4,58,2/2/1980
When A Man Loves A Woman,Bette Midler,59,68,3,59,2/2/1980
I'm Alive,Gamma,60,62,5,60,2/2/1980
I Thank You,ZZ Top,61,72,3,61,2/2/1980
Bad Times,Tavares,62,73,5,62,2/2/1980
Jane,Jefferson Starship,14,28,14,63,2/2/1980
Back On My Feet Again,The Babys,64,77,3,64,2/2/1980
Rotation,Herb Alpert,30,30,12,65,2/2/1980
Got To Love Somebody,Sister Sledge,66,76,3,66,2/2/1980
With You I'm Born Again,Billy Preston & Syreeta,67,78,9,67,2/2/1980
How Do I Make You,Linda Ronstadt,68,0,1,68,2/2/1980
Remember (Walking In The Sand),Aerosmith,69,71,4,69,2/2/1980
Memorize Your Number,Leif Garrett,60,60,8,70,2/2/1980
I Pledge My Love,Peaches & Herb,71,80,3,71,2/2/1980
Goodnight My Love,Mike Pinera,72,74,5,72,2/2/1980
Three Times In Love,Tommy James,73,82,2,73,2/2/1980
Special Lady,"Ray, Goodman & Brown",74,89,2,74,2/2/1980
Holdin' On For Dear Love,Lobo,75,75,7,75,2/2/1980
I Wish I Was Eighteen Again,George Burns,76,81,3,76,2/2/1980
Haven't You Heard,Patrice Rushen,77,86,2,77,2/2/1980
You Might Need Somebody,Turley Richards,78,88,2,78,2/2/1980
Babe,Styx,1,50,18,79,2/2/1980
Rockin' Into The Night,38 Special,80,0,1,80,2/2/1980
Still,Commodores,1,57,19,81,2/2/1980
Come Back,The J. Geils Band,82,0,1,82,2/2/1980
I Call Your Name,Switch,83,83,14,83,2/2/1980
Years,Wayne Newton,84,0,1,84,2/2/1980
Dirty Water,The Inmates,51,51,9,85,2/2/1980
Head Games,Foreigner,14,58,13,86,2/2/1980
Us And Love (We Go Together),Kenny Nolan,87,0,1,87,2/2/1980
The Hardest Part,Blondie,88,0,1,88,2/2/1980
I Don't Want To Be Lonely,Dana Valery,89,91,3,89,2/2/1980
Peanut Butter,Twennynine Featuring Lenny White,90,0,1,90,2/2/1980
I Don't Like Mondays,The Boomtown Rats,91,0,1,91,2/2/1980
"Computer Game ""Theme From The Circus""",Yellow Magic Orchestra,92,0,1,92,2/2/1980
Money,The Flying Lizards,50,93,10,93,2/2/1980
Volcano,Jimmy Buffett,66,66,7,94,2/2/1980
Too Late,Journey,70,70,4,95,2/2/1980
Don't Make Me Over,Jennifer Warnes,67,67,7,96,2/2/1980
She's In Love With You,Suzi Quatro,41,41,11,97,2/2/1980
Savannah Nights,Tom Johnston,34,84,12,98,2/2/1980
Takin' It Back,Breathless,92,92,4,99,2/2/1980
Stargazer,Peter Brown,59,85,8,100,2/2/1980
Rock With You,Michael Jackson,1,1,15,1,2/9/1980
Do That To Me One More Time,Captain & Tennille,2,2,17,2,2/9/1980
Coward Of The County,Kenny Rogers,3,3,13,3,2/9/1980
Cruisin',Smokey Robinson,4,4,19,4,2/9/1980
Crazy Little Thing Called Love,Queen,5,5,8,5,2/9/1980
"Yes, I'm Ready",Teri DeSario With K.C.,6,9,13,6,2/9/1980
Sara,Fleetwood Mac,7,7,9,7,2/9/1980
The Long Run,Eagles,8,8,10,8,2/9/1980
Longer,Dan Fogelberg,9,17,9,9,2/9/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,10,10,13,10,2/9/1980
This Is It,Kenny Loggins,11,12,17,11,2/9/1980
Escape (The Pina Colada Song),Rupert Holmes,1,6,17,12,2/9/1980
Desire,Andy Gibb,13,22,3,13,2/9/1980
On The Radio,Donna Summer,14,16,5,14,2/9/1980
Deja Vu,Dionne Warwick,15,15,14,15,2/9/1980
Romeo's Tune,Steve Forbert,16,19,11,16,2/9/1980
Daydream Believer,Anne Murray,17,20,8,17,2/9/1980
Don't Let Go,Isaac Hayes,18,18,16,18,2/9/1980
An American Dream,The Dirt Band,19,21,10,19,2/9/1980
I Wanna Be Your Lover,Prince,11,11,12,20,2/9/1980
September Morn',Neil Diamond,21,25,8,21,2/9/1980
Fool In The Rain,Led Zeppelin,22,24,8,22,2/9/1980
We Don't Talk Anymore,Cliff Richard,7,13,17,23,2/9/1980
Third Time Lucky (First Time I Was A Fool),Foghat,23,23,13,24,2/9/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,25,29,9,25,2/9/1980
Why Me,Styx,26,27,9,26,2/9/1980
Too Hot,Kool & The Gang,27,49,4,27,2/9/1980
When I Wanted You,Barry Manilow,28,38,9,28,2/9/1980
Wonderland,Commodores,29,34,9,29,2/9/1980
Do You Love What You Feel,Rufus And Chaka Khan,30,30,12,30,2/9/1980
Refugee,Tom Petty And The Heartbreakers,31,50,3,31,2/9/1980
Another Brick In The Wall (Part II),Pink Floyd,32,51,4,32,2/9/1980
The Second Time Around,Shalamar,33,40,10,33,2/9/1980
Lost Her In The Sun,John Stewart,34,36,10,34,2/9/1980
How Do I Make You,Linda Ronstadt,35,68,2,35,2/9/1980
Him,Rupert Holmes,36,47,4,36,2/9/1980
Ladies Night,Kool & The Gang,8,37,19,37,2/9/1980
Send One Your Love,Stevie Wonder,4,14,15,38,2/9/1980
99,Toto,39,45,8,39,2/9/1980
Heartbreaker,Pat Benatar,40,44,8,40,2/9/1980
Looks Like Love Again,Dann Rogers,41,43,9,41,2/9/1980
Special Lady,"Ray, Goodman & Brown",42,74,3,42,2/9/1980
"Let Me Go, Love",Nicolette Larson & Michael McDonald,43,53,5,43,2/9/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,44,48,8,44,2/9/1980
Wait For Me,Daryl Hall John Oates,18,26,16,45,2/9/1980
I Don't Want To Talk About It,Rod Stewart,46,46,8,46,2/9/1980
Kiss Me In The Rain,Barbra Streisand,47,58,5,47,2/9/1980
Flirtin' With Disaster,Molly Hatchet,48,54,6,48,2/9/1980
Give It All You Got,Chuck Mangione,49,57,4,49,2/9/1980
When A Man Loves A Woman,Bette Midler,50,59,4,50,2/9/1980
I Thank You,ZZ Top,51,61,4,51,2/9/1980
Forever Mine,The O'Jays,28,28,12,52,2/9/1980
Bad Times,Tavares,53,62,6,53,2/9/1980
Back On My Feet Again,The Babys,54,64,4,54,2/9/1980
With You I'm Born Again,Billy Preston & Syreeta,55,67,10,55,2/9/1980
Better Love Next Time,Dr. Hook,12,31,18,56,2/9/1980
Cool Change,Little River Band,10,33,17,57,2/9/1980
Voices,Cheap Trick,32,32,10,58,2/9/1980
You Know That I Love You,Santana,35,35,12,59,2/9/1980
I Pledge My Love,Peaches & Herb,60,71,4,60,2/9/1980
Can We Still Be Friends,Robert Palmer,52,52,8,61,2/9/1980
Three Times In Love,Tommy James,62,73,3,62,2/9/1980
Lonely Eyes,Robert John,41,41,10,63,2/9/1980
Got To Love Somebody,Sister Sledge,64,66,4,64,2/9/1980
I Wish I Was Eighteen Again,George Burns,65,76,4,65,2/9/1980
Last Train To London,Electric Light Orchestra,39,39,10,66,2/9/1980
Remember (Walking In The Sand),Aerosmith,67,69,5,67,2/9/1980
Haven't You Heard,Patrice Rushen,68,77,3,68,2/9/1980
You Might Need Somebody,Turley Richards,69,78,3,69,2/9/1980
Rockin' Into The Night,38 Special,70,80,2,70,2/9/1980
Come Back,The J. Geils Band,71,82,2,71,2/9/1980
Goodnight My Love,Mike Pinera,72,72,6,72,2/9/1980
Baby Talks Dirty,The Knack,73,0,1,73,2/9/1980
Years,Wayne Newton,74,84,2,74,2/9/1980
Dig The Gold,Joyce Cobb,42,42,12,75,2/9/1980
Us And Love (We Go Together),Kenny Nolan,76,87,2,76,2/9/1980
Please Don't Go,KC And The Sunshine Band,1,56,25,77,2/9/1980
Jane,Jefferson Starship,14,63,15,78,2/9/1980
And The Beat Goes On,The Whispers,79,0,1,79,2/9/1980
I Don't Like Mondays,The Boomtown Rats,80,91,2,80,2/9/1980
Lost In Love,Air Supply,81,0,1,81,2/9/1980
Even It Up,Heart,82,0,1,82,2/9/1980
"Computer Game ""Theme From The Circus""",Yellow Magic Orchestra,83,92,2,83,2/9/1980
The Hardest Part,Blondie,84,88,2,84,2/9/1980
Where Does The Lovin' Go,David Gates,85,0,1,85,2/9/1980
Peanut Butter,Twennynine Featuring Lenny White,86,90,2,86,2/9/1980
My Heroes Have Always Been Cowboys,Willie Nelson,87,0,1,87,2/9/1980
I Don't Want To Be Lonely,Dana Valery,88,89,4,88,2/9/1980
I Shoulda Loved Ya,Narada Michael Walden,89,0,1,89,2/9/1980
I Like To Rock,April Wine,90,0,1,90,2/9/1980
Holdin' On For Dear Love,Lobo,75,75,8,91,2/9/1980
Still,Commodores,1,81,20,92,2/9/1980
Glide,Pleasure,55,55,10,93,2/9/1980
Rotation,Herb Alpert,30,65,13,94,2/9/1980
Memorize Your Number,Leif Garrett,60,70,9,95,2/9/1980
Babe,Styx,1,79,19,96,2/9/1980
Dirty Water,The Inmates,51,85,10,97,2/9/1980
I Call Your Name,Switch,83,83,15,98,2/9/1980
Head Games,Foreigner,14,86,14,99,2/9/1980
I'm Alive,Gamma,60,60,6,100,2/9/1980
Do That To Me One More Time,Captain & Tennille,1,2,18,1,2/16/1980
Crazy Little Thing Called Love,Queen,2,5,9,2,2/16/1980
Coward Of The County,Kenny Rogers,3,3,14,3,2/16/1980
Cruisin',Smokey Robinson,4,4,20,4,2/16/1980
Rock With You,Michael Jackson,1,1,16,5,2/16/1980
"Yes, I'm Ready",Teri DeSario With K.C.,6,6,14,6,2/16/1980
Sara,Fleetwood Mac,7,7,10,7,2/16/1980
Longer,Dan Fogelberg,8,9,10,8,2/16/1980
On The Radio,Donna Summer,9,14,6,9,2/16/1980
Desire,Andy Gibb,10,13,4,10,2/16/1980
This Is It,Kenny Loggins,11,11,18,11,2/16/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,10,10,14,12,2/16/1980
Daydream Believer,Anne Murray,13,17,9,13,2/16/1980
Romeo's Tune,Steve Forbert,14,16,12,14,2/16/1980
The Long Run,Eagles,8,8,11,15,2/16/1980
An American Dream,The Dirt Band,16,19,11,16,2/16/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,17,25,10,17,2/16/1980
Another Brick In The Wall (Part II),Pink Floyd,18,32,5,18,2/16/1980
September Morn',Neil Diamond,19,21,9,19,2/16/1980
The Second Time Around,Shalamar,20,33,11,20,2/16/1980
Fool In The Rain,Led Zeppelin,21,22,9,21,2/16/1980
Too Hot,Kool & The Gang,22,27,5,22,2/16/1980
How Do I Make You,Linda Ronstadt,23,35,3,23,2/16/1980
Escape (The Pina Colada Song),Rupert Holmes,1,12,18,24,2/16/1980
When I Wanted You,Barry Manilow,25,28,10,25,2/16/1980
Refugee,Tom Petty And The Heartbreakers,26,31,4,26,2/16/1980
Wonderland,Commodores,27,29,10,27,2/16/1980
Him,Rupert Holmes,28,36,5,28,2/16/1980
Deja Vu,Dionne Warwick,15,15,15,29,2/16/1980
Don't Let Go,Isaac Hayes,18,18,17,30,2/16/1980
I Wanna Be Your Lover,Prince,11,20,13,31,2/16/1980
We Don't Talk Anymore,Cliff Richard,7,23,18,32,2/16/1980
99,Toto,33,39,9,33,2/16/1980
Heartbreaker,Pat Benatar,34,40,9,34,2/16/1980
Why Me,Styx,26,26,10,35,2/16/1980
Lost Her In The Sun,John Stewart,34,34,11,36,2/16/1980
Give It All You Got,Chuck Mangione,37,49,5,37,2/16/1980
Special Lady,"Ray, Goodman & Brown",38,42,4,38,2/16/1980
"Let Me Go, Love",Nicolette Larson & Michael McDonald,39,43,6,39,2/16/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,40,44,9,40,2/16/1980
Looks Like Love Again,Dann Rogers,41,41,10,41,2/16/1980
Kiss Me In The Rain,Barbra Streisand,42,47,6,42,2/16/1980
Third Time Lucky (First Time I Was A Fool),Foghat,23,24,14,43,2/16/1980
Flirtin' With Disaster,Molly Hatchet,44,48,7,44,2/16/1980
When A Man Loves A Woman,Bette Midler,45,50,5,45,2/16/1980
I Thank You,ZZ Top,46,51,5,46,2/16/1980
Bad Times,Tavares,47,53,7,47,2/16/1980
With You I'm Born Again,Billy Preston & Syreeta,48,55,11,48,2/16/1980
Back On My Feet Again,The Babys,49,54,5,49,2/16/1980
Do You Love What You Feel,Rufus And Chaka Khan,30,30,13,50,2/16/1980
Ladies Night,Kool & The Gang,8,37,20,51,2/16/1980
I Pledge My Love,Peaches & Herb,52,60,5,52,2/16/1980
Off The Wall,Michael Jackson,53,0,1,53,2/16/1980
Three Times In Love,Tommy James,54,62,4,54,2/16/1980
I Wish I Was Eighteen Again,George Burns,55,65,5,55,2/16/1980
Come Back,The J. Geils Band,56,71,3,56,2/16/1980
Haven't You Heard,Patrice Rushen,57,68,4,57,2/16/1980
You Might Need Somebody,Turley Richards,58,69,4,58,2/16/1980
Baby Talks Dirty,The Knack,59,73,2,59,2/16/1980
Rockin' Into The Night,38 Special,60,70,3,60,2/16/1980
Ride Like The Wind,Christopher Cross,61,0,1,61,2/16/1980
Send One Your Love,Stevie Wonder,4,38,16,62,2/16/1980
Us And Love (We Go Together),Kenny Nolan,63,76,3,63,2/16/1980
Years,Wayne Newton,64,74,3,64,2/16/1980
Wait For Me,Daryl Hall John Oates,18,45,17,65,2/16/1980
Lost In Love,Air Supply,66,81,2,66,2/16/1980
And The Beat Goes On,The Whispers,67,79,2,67,2/16/1980
I Don't Want To Talk About It,Rod Stewart,46,46,9,68,2/16/1980
Even It Up,Heart,69,82,2,69,2/16/1980
Goodnight My Love,Mike Pinera,70,72,7,70,2/16/1980
Sexy Eyes,Dr. Hook,71,0,1,71,2/16/1980
Better Love Next Time,Dr. Hook,12,56,19,72,2/16/1980
Voice Of Freedom,Jim Kirk And The Tm Singers,73,0,1,73,2/16/1980
Where Does The Lovin' Go,David Gates,74,85,2,74,2/16/1980
I Don't Like Mondays,The Boomtown Rats,75,80,3,75,2/16/1980
My Heroes Have Always Been Cowboys,Willie Nelson,76,87,2,76,2/16/1980
Women,Foreigner,77,0,1,77,2/16/1980
I Shoulda Loved Ya,Narada Michael Walden,78,89,2,78,2/16/1980
"Computer Game ""Theme From The Circus""",Yellow Magic Orchestra,79,83,3,79,2/16/1980
Call Me,Blondie,80,0,1,80,2/16/1980
Cars,Gary Numan,81,0,1,81,2/16/1980
Forever Mine,The O'Jays,28,52,13,82,2/16/1980
Peanut Butter,Twennynine Featuring Lenny White,83,86,3,83,2/16/1980
The Hardest Part,Blondie,84,84,3,84,2/16/1980
What I Like About You,The Romantics,85,0,1,85,2/16/1980
I Like To Rock,April Wine,86,90,2,86,2/16/1980
I Don't Want To Be Lonely,Dana Valery,87,88,5,87,2/16/1980
Small Paradise,John Cougar,88,0,1,88,2/16/1980
Desire,Rockets,89,0,1,89,2/16/1980
Cool Change,Little River Band,10,57,18,90,2/16/1980
You Are My Heaven,Roberta Flack With Donny Hathaway,91,0,1,91,2/16/1980
Brass In Pocket (I'm Special),Pretenders,92,0,1,92,2/16/1980
Voices,Cheap Trick,32,58,11,93,2/16/1980
You Know That I Love You,Santana,35,59,13,94,2/16/1980
Can We Still Be Friends,Robert Palmer,52,61,9,95,2/16/1980
Lonely Eyes,Robert John,41,63,11,96,2/16/1980
Got To Love Somebody,Sister Sledge,64,64,5,97,2/16/1980
Last Train To London,Electric Light Orchestra,39,66,11,98,2/16/1980
Remember (Walking In The Sand),Aerosmith,67,67,6,99,2/16/1980
Please Don't Go,KC And The Sunshine Band,1,77,26,100,2/16/1980
Crazy Little Thing Called Love,Queen,1,2,10,1,2/23/1980
Do That To Me One More Time,Captain & Tennille,1,1,19,2,2/23/1980
"Yes, I'm Ready",Teri DeSario With K.C.,3,6,15,3,2/23/1980
Cruisin',Smokey Robinson,4,4,21,4,2/23/1980
Rock With You,Michael Jackson,1,5,17,5,2/23/1980
Longer,Dan Fogelberg,6,8,11,6,2/23/1980
On The Radio,Donna Summer,7,9,7,7,2/23/1980
Desire,Andy Gibb,8,10,5,8,2/23/1980
Coward Of The County,Kenny Rogers,3,3,15,9,2/23/1980
Sara,Fleetwood Mac,7,7,11,10,2/23/1980
Romeo's Tune,Steve Forbert,11,14,13,11,2/23/1980
Daydream Believer,Anne Murray,12,13,10,12,2/23/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,13,17,11,13,2/23/1980
An American Dream,The Dirt Band,14,16,12,14,2/23/1980
Another Brick In The Wall (Part II),Pink Floyd,15,18,6,15,2/23/1980
This Is It,Kenny Loggins,11,11,19,16,2/23/1980
The Second Time Around,Shalamar,17,20,12,17,2/23/1980
September Morn',Neil Diamond,18,19,10,18,2/23/1980
Too Hot,Kool & The Gang,19,22,6,19,2/23/1980
How Do I Make You,Linda Ronstadt,20,23,4,20,2/23/1980
Fool In The Rain,Led Zeppelin,21,21,10,21,2/23/1980
When I Wanted You,Barry Manilow,22,25,11,22,2/23/1980
Refugee,Tom Petty And The Heartbreakers,23,26,5,23,2/23/1980
Him,Rupert Holmes,24,28,6,24,2/23/1980
Wonderland,Commodores,25,27,11,25,2/23/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,10,12,15,26,2/23/1980
The Long Run,Eagles,8,15,12,27,2/23/1980
Escape (The Pina Colada Song),Rupert Holmes,1,24,19,28,2/23/1980
Heartbreaker,Pat Benatar,29,34,10,29,2/23/1980
99,Toto,30,33,10,30,2/23/1980
Give It All You Got,Chuck Mangione,31,37,6,31,2/23/1980
Special Lady,"Ray, Goodman & Brown",32,38,5,32,2/23/1980
Don't Let Go,Isaac Hayes,18,30,18,33,2/23/1980
Deja Vu,Dionne Warwick,15,29,16,34,2/23/1980
"Let Me Go, Love",Nicolette Larson & Michael McDonald,35,39,7,35,2/23/1980
I Wanna Be Your Lover,Prince,11,31,14,36,2/23/1980
Off The Wall,Michael Jackson,37,53,2,37,2/23/1980
Three Times In Love,Tommy James,38,54,5,38,2/23/1980
Kiss Me In The Rain,Barbra Streisand,39,42,7,39,2/23/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,40,40,10,40,2/23/1980
When A Man Loves A Woman,Bette Midler,41,45,6,41,2/23/1980
I Thank You,ZZ Top,42,46,6,42,2/23/1980
Flirtin' With Disaster,Molly Hatchet,43,44,8,43,2/23/1980
With You I'm Born Again,Billy Preston & Syreeta,44,48,12,44,2/23/1980
Back On My Feet Again,The Babys,45,49,6,45,2/23/1980
Ride Like The Wind,Christopher Cross,46,61,2,46,2/23/1980
Bad Times,Tavares,47,47,8,47,2/23/1980
I Pledge My Love,Peaches & Herb,48,52,6,48,2/23/1980
Why Me,Styx,26,35,11,49,2/23/1980
Come Back,The J. Geils Band,50,56,4,50,2/23/1980
Haven't You Heard,Patrice Rushen,51,57,5,51,2/23/1980
Baby Talks Dirty,The Knack,52,59,3,52,2/23/1980
I Wish I Was Eighteen Again,George Burns,53,55,6,53,2/23/1980
You Might Need Somebody,Turley Richards,54,58,5,54,2/23/1980
Rockin' Into The Night,38 Special,55,60,4,55,2/23/1980
Lost In Love,Air Supply,56,66,3,56,2/23/1980
Us And Love (We Go Together),Kenny Nolan,57,63,4,57,2/23/1980
Years,Wayne Newton,58,64,4,58,2/23/1980
And The Beat Goes On,The Whispers,59,67,3,59,2/23/1980
I Can't Tell You Why,Eagles,60,0,1,60,2/23/1980
Sexy Eyes,Dr. Hook,61,71,2,61,2/23/1980
Even It Up,Heart,62,69,3,62,2/23/1980
Ladies Night,Kool & The Gang,8,51,21,63,2/23/1980
Where Does The Lovin' Go,David Gates,64,74,3,64,2/23/1980
Fire Lake,Bob Seger,65,0,1,65,2/23/1980
My Heroes Have Always Been Cowboys,Willie Nelson,66,76,3,66,2/23/1980
Women,Foreigner,67,77,2,67,2/23/1980
I Shoulda Loved Ya,Narada Michael Walden,68,78,3,68,2/23/1980
We Don't Talk Anymore,Cliff Richard,7,32,19,69,2/23/1980
Call Me,Blondie,70,80,2,70,2/23/1980
Voice Of Freedom,Jim Kirk And The Tm Singers,71,73,2,71,2/23/1980
Cars,Gary Numan,72,81,2,72,2/23/1980
I Don't Like Mondays,The Boomtown Rats,73,75,4,73,2/23/1980
Pilot Of The Airwaves,Charlie Dore,74,0,1,74,2/23/1980
What I Like About You,The Romantics,75,85,2,75,2/23/1980
Set Me Free,Utopia,76,0,1,76,2/23/1980
Lost Her In The Sun,John Stewart,34,36,12,77,2/23/1980
"Computer Game ""Theme From The Circus""",Yellow Magic Orchestra,78,79,4,78,2/23/1980
Looks Like Love Again,Dann Rogers,41,41,11,79,2/23/1980
Desire,Rockets,80,89,2,80,2/23/1980
Fire In The Morning,Melissa Manchester,81,0,1,81,2/23/1980
Keep The Fire,Kenny Loggins,82,0,1,82,2/23/1980
Girl With The Hungry Eyes,Jefferson Starship,83,0,1,83,2/23/1980
Carrie,Cliff Richard,84,0,1,84,2/23/1980
You Are My Heaven,Roberta Flack With Donny Hathaway,85,91,2,85,2/23/1980
It's Like We Never Said Goodbye,Crystal Gayle,86,0,1,86,2/23/1980
Small Paradise,John Cougar,87,88,2,87,2/23/1980
The Spirit Of Radio,Rush,88,0,1,88,2/23/1980
Loving You With My Eyes,Starland Vocal Band,89,0,1,89,2/23/1980
Autograph,John Denver,90,0,1,90,2/23/1980
Brass In Pocket (I'm Special),Pretenders,91,92,2,91,2/23/1980
Third Time Lucky (First Time I Was A Fool),Foghat,23,43,15,92,2/23/1980
Send One Your Love,Stevie Wonder,4,62,17,93,2/23/1980
Peanut Butter,Twennynine Featuring Lenny White,83,83,4,94,2/23/1980
Somewhere In America,Survivor,95,0,1,95,2/23/1980
Do You Love What You Feel,Rufus And Chaka Khan,30,50,14,96,2/23/1980
I Like To Rock,April Wine,86,86,3,97,2/23/1980
Goodnight My Love,Mike Pinera,70,70,8,98,2/23/1980
Wait For Me,Daryl Hall John Oates,18,65,18,99,2/23/1980
I Don't Want To Talk About It,Rod Stewart,46,68,10,100,2/23/1980
Crazy Little Thing Called Love,Queen,1,1,11,1,3/1/1980
"Yes, I'm Ready",Teri DeSario With K.C.,2,3,16,2,3/1/1980
Do That To Me One More Time,Captain & Tennille,1,2,20,3,3/1/1980
Longer,Dan Fogelberg,4,6,12,4,3/1/1980
Desire,Andy Gibb,5,8,6,5,3/1/1980
On The Radio,Donna Summer,6,7,8,6,3/1/1980
Cruisin',Smokey Robinson,4,4,22,7,3/1/1980
Rock With You,Michael Jackson,1,5,18,8,3/1/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,9,13,12,9,3/1/1980
Another Brick In The Wall (Part II),Pink Floyd,10,15,7,10,3/1/1980
Romeo's Tune,Steve Forbert,11,11,14,11,3/1/1980
Daydream Believer,Anne Murray,12,12,11,12,3/1/1980
An American Dream,The Dirt Band,13,14,13,13,3/1/1980
The Second Time Around,Shalamar,14,17,13,14,3/1/1980
Too Hot,Kool & The Gang,15,19,7,15,3/1/1980
Him,Rupert Holmes,16,24,7,16,3/1/1980
September Morn',Neil Diamond,17,18,11,17,3/1/1980
How Do I Make You,Linda Ronstadt,18,20,5,18,3/1/1980
Refugee,Tom Petty And The Heartbreakers,19,23,6,19,3/1/1980
When I Wanted You,Barry Manilow,20,22,12,20,3/1/1980
Coward Of The County,Kenny Rogers,3,9,16,21,3/1/1980
Sara,Fleetwood Mac,7,10,12,22,3/1/1980
This Is It,Kenny Loggins,11,16,20,23,3/1/1980
Give It All You Got,Chuck Mangione,24,31,7,24,3/1/1980
Wonderland,Commodores,25,25,12,25,3/1/1980
Special Lady,"Ray, Goodman & Brown",26,32,6,26,3/1/1980
99,Toto,27,30,11,27,3/1/1980
Heartbreaker,Pat Benatar,28,29,11,28,3/1/1980
Fool In The Rain,Led Zeppelin,21,21,11,29,3/1/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,10,26,16,30,3/1/1980
Ride Like The Wind,Christopher Cross,31,46,3,31,3/1/1980
I Can't Tell You Why,Eagles,32,60,2,32,3/1/1980
Off The Wall,Michael Jackson,33,37,3,33,3/1/1980
Three Times In Love,Tommy James,34,38,6,34,3/1/1980
"Let Me Go, Love",Nicolette Larson & Michael McDonald,35,35,8,35,3/1/1980
With You I'm Born Again,Billy Preston & Syreeta,36,44,13,36,3/1/1980
Kiss Me In The Rain,Barbra Streisand,37,39,8,37,3/1/1980
When A Man Loves A Woman,Bette Midler,38,41,7,38,3/1/1980
I Thank You,ZZ Top,39,42,7,39,3/1/1980
Fire Lake,Bob Seger,40,65,2,40,3/1/1980
Back On My Feet Again,The Babys,41,45,7,41,3/1/1980
Flirtin' With Disaster,Molly Hatchet,42,43,9,42,3/1/1980
I Pledge My Love,Peaches & Herb,43,48,7,43,3/1/1980
Come Back,The J. Geils Band,44,50,5,44,3/1/1980
Baby Talks Dirty,The Knack,45,52,4,45,3/1/1980
Haven't You Heard,Patrice Rushen,46,51,6,46,3/1/1980
Lost In Love,Air Supply,47,56,4,47,3/1/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,40,40,11,48,3/1/1980
